,institute_name_scrapper,course_name,duration,Intakes Dates,status,Link of the Program,inst_currency
84,durham college,Game – Art,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/game-art,Canadian dollar(Can$)
85,durham college,Gas Technician 2,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/gas-technician-2,Canadian dollar(Can$)
86,durham college,Gas Technician – evenings and weekends,as Technician – evenin,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/gas-technician-2-evening,Canadian dollar(Can$)
87,durham college,Gas Technician – evenings and weekends,as Technician – evenin,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/gas-technician-3-evening,Canadian dollar(Can$)
88,durham college,General Arts and Science – General Certificate,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-general-certificate-gasc,Canadian dollar(Can$)
89,durham college,General Arts and Science – General Certificate (Online),Two semesters,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/general-arts-and-science-general-certificate-online,Canadian dollar(Can$)
90,durham college,General Arts and Science – Liberal Arts Ontario Tech University Transfer,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-liberal-arts-ontario-tech-university-transfer,Canadian dollar(Can$)
91,durham college,General Arts and Science – Liberal Arts Ontario Tech University Transfer – Forensics,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-liberal-arts-ontario-tech-university-transfer-forensics,Canadian dollar(Can$)
92,durham college,General Arts and Science – Trent University Transfer,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-liberal-arts-trent-transfer,Canadian dollar(Can$)
93,durham college,General Arts and Science – Science and Engineering Preparation – Ontario Tech University,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-science-and-engineering-preparation-ontario-tech-university,Canadian dollar(Can$)
94,durham college,Graphic Design,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/graphic-design,Canadian dollar(Can$)
95,durham college,"Heating, Ventilation and Air Conditioning Techniques (HVAC)",Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/heating-ventilation-and-air-conditioning-techniques-hvac,Canadian dollar(Can$)
96,durham college,Horticulture Technician,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/horticulture-technician,Canadian dollar(Can$)
97,durham college,Hospitality – Hotel and Restaurant Operations Management (Co-op option available),Four semesters,"e Only










Credential",,https://durhamcollege.ca/programs/hospitality-hotel-and-restaurant-operations-management,Canadian dollar(Can$)
98,durham college,Hospitality Skills,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/hospitality-skills,Canadian dollar(Can$)
99,durham college,Human Resources – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/human-resources-business-transfer-to-ontario-tech-university-bachelor-of-commerce-hons,Canadian dollar(Can$)
100,durham college,Human Resources Management (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/human-resources-management-graduate-certificate,Canadian dollar(Can$)
101,durham college,Human Resources Management (graduate certificate – weekend delivery),Three semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/human-resources-management-graduate-certificate-weekend-delivery,Canadian dollar(Can$)
102,durham college,Interactive Media Design,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/interactive-media-design,Canadian dollar(Can$)
103,durham college,International Business Management (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/international-business-management-graduate-certificate,Canadian dollar(Can$)
104,durham college,International Business Management (graduate certificate – weekend delivery),Two semesters,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/international-business-management-graduate-certificate-weekend-delivery,Canadian dollar(Can$)
105,durham college,Internet of Things (IoT) (graduate certificate),Two semesters,"e


View all intakes

Faculty",,https://durhamcollege.ca/programs/internet-of-things,Canadian dollar(Can$)
106,durham college,Journalism and Creative Writing,Eight semesters,"e


View all intakes

Faculty",,https://durhamcollege.ca/programs/journalism-and-creative-writing,Canadian dollar(Can$)
107,durham college,Journalism – Mass Media,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/journalism-mass-media,Canadian dollar(Can$)
108,durham college,Law Clerk Advanced (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/law-clerk-advanced,Canadian dollar(Can$)
109,durham college,Law Clerk Advanced (fast-track),Three semesters,"e

						May 2023 
View all in",,https://durhamcollege.ca/programs/law-clerk-advanced-fast-track,Canadian dollar(Can$)
110,durham college,Marketing – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/marketing-business-transfer-to-ontario-tech-university-bachelor-of-commerce-hons,Canadian dollar(Can$)
111,durham college,Massage Therapy,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/massage-therapy,Canadian dollar(Can$)
112,durham college,Mechanical Engineering Technician,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-engineering-technician,Canadian dollar(Can$)
113,durham college,Mechanical Engineering Technician – Non-Destructive Evaluation,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-engineering-technician-non-destructive-evaluation,Canadian dollar(Can$)
114,durham college,Mechanical Engineering Technician – Non-Destructive Evaluation (fast-track),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-engineering-technician-non-destructive-evaluation-compressed-fast-track,Canadian dollar(Can$)
115,durham college,Mechanical Engineering Technology (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-engineering-technology,Canadian dollar(Can$)
116,durham college,Mechanical Technician – Elevating Devices (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-technician-elevating-devices,Canadian dollar(Can$)
117,durham college,Mechanical Technician – Millwright (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-technician-millwright,Canadian dollar(Can$)
118,durham college,Mechanical Techniques – Plumbing,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/mechanical-techniques-plumbing,Canadian dollar(Can$)
119,durham college,Film and Motion Design – Media Fundamentals,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/media-fundamentals,Canadian dollar(Can$)
120,durham college,Music Business (two-year)/Music Business Management (three-year),Four semesters/,"e

						September 2022 
View",,https://durhamcollege.ca/programs/music-business-administration-music-business-management,Canadian dollar(Can$)
121,durham college,Nursing – Collaborative Bachelor of Science in Nursing (BScN) (Hons),ursing – Collaborative,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/nursing-collaborative-bachelor-of-science-in-nursing-bscn-hons,Canadian dollar(Can$)
122,durham college,Occupational Therapist Assistant and Physiotherapist Assistant,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/occupational-therapist-assistantphysiotherapist-assistant,Canadian dollar(Can$)
123,durham college,Office Administration – General,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/office-administration,Canadian dollar(Can$)
124,durham college,Office Administration – Executive,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/office-administration-executive,Canadian dollar(Can$)
125,durham college,Office Administration – Executive (Four consecutive semesters) – NEW,Four consecutiv,"e

						September 2022 
View",,https://durhamcollege.ca/programs/office-administration-executive-four-consecutive-semesters,Canadian dollar(Can$)
126,durham college,Office Administration – Health Services,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/office-administration-health-services,Canadian dollar(Can$)
127,durham college,Office Administration – Health Services (Four consecutive semesters),Four consecutiv,"e

						September 2022 
View",,https://durhamcollege.ca/programs/office-administration-health-services-fast-track,Canadian dollar(Can$)
128,durham college,Paralegal,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/paralegal,Canadian dollar(Can$)
129,durham college,Paralegal (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/paralegal-graduate-certificate,Canadian dollar(Can$)
130,durham college,Paramedic,Four semesters,"e


View all intakes

Faculty",,https://durhamcollege.ca/programs/paramedic,Canadian dollar(Can$)
131,durham college,Paramedic – Advanced Care (graduate certificate),Three consecuti,"e

						September 2022 
View",,https://durhamcollege.ca/programs/paramedic-advanced-care-hybrid-delivery-graduate-certificate,Canadian dollar(Can$)
132,durham college,Personal Support Worker,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/personal-support-worker,Canadian dollar(Can$)
133,durham college,Personal Support Worker – Accelerated – NEW,12 weeks in cla,"e


View all intakes

Faculty",,https://durhamcollege.ca/programs/personal-support-worker-accelerated,Canadian dollar(Can$)
134,durham college,Personal Support Worker (weekend delivery),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/personal-support-worker-weekend-delivery,Canadian dollar(Can$)
135,durham college,Pharmaceutical Science (graduate certificate) – NEW,Three semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/pharmaceutical-science,Canadian dollar(Can$)
136,durham college,Photography,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/photography,Canadian dollar(Can$)
137,durham college,Police Foundations,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/police-foundations,Canadian dollar(Can$)
138,durham college,Police Foundations (fast-track),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/police-foundations-fast-track,Canadian dollar(Can$)
139,durham college,Power Engineering Techniques – Fourth Class,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/power-engineering-techniques-fourth-class,Canadian dollar(Can$)
140,durham college,Practical Nursing,Five semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/practical-nursing,Canadian dollar(Can$)
141,durham college,Practical Nursing – Flex Program (weekend delivery),Five semesters,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/practical-nursing-flex-program,Canadian dollar(Can$)
142,durham college,Practical Nursing for Internationally Educated Nurses,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/practical-nursing-for-internationally-educated-nurses,Canadian dollar(Can$)
143,durham college,Pre-Health Sciences Pathway to Advanced Diplomas and Degrees,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/pre-health-sciences-pathway-to-advanced-diplomas-and-degrees,Canadian dollar(Can$)
144,durham college,Pre-Health Sciences Pathway to Certificates and Diplomas,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/pre-health-sciences-pathway-to-certificates-and-diplomas,Canadian dollar(Can$)
145,durham college,Pre-Health Sciences Pathway to Certificates and Diplomas (hybrid),Two semester,"e

						September 2022 
View",,https://durhamcollege.ca/programs/pre-health-sciences-pathway-to-certificates-and-diplomas-hybrid-option,Canadian dollar(Can$)
146,durham college,Project Management (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/project-management,Canadian dollar(Can$)
147,durham college,Project Management (graduate certificate – weekend delivery),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/project-management-graduate-certificate-weekend-delivery,Canadian dollar(Can$)
148,durham college,"Protection, Security and Investigation",Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/protection-security-and-investigation,Canadian dollar(Can$)
149,durham college,"Protection, Security and Investigation (fast-track)",Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/protection-security-and-investigation-fast-track,Canadian dollar(Can$)
150,durham college,PR and Strategic Communications,Five semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/public-relations,Canadian dollar(Can$)
151,durham college,Recreation and Leisure Services,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/recreation-and-leisure-services,Canadian dollar(Can$)
152,durham college,Critical Care Nursing – e-learning (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/registered-nurse-critical-care-nursing-e-learning,Canadian dollar(Can$)
153,durham college,Social Service Worker,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/social-services-worker,Canadian dollar(Can$)
154,durham college,Sport Administration (two-year),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/sport-administration,Canadian dollar(Can$)
155,durham college,Sport Business Management (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/sport-business-management-graduate-certificate,Canadian dollar(Can$)
156,durham college,Sport Management (three-year),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/sport-management,Canadian dollar(Can$)
157,durham college,Supply Chain and Operations – Business,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/supply-chain-and-operations-business,Canadian dollar(Can$)
158,durham college,Supply Chain and Operations – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/supply-chain-and-operations-business-transfer-to-ontario-tech-university-bachelor-of-commerce-hons,Canadian dollar(Can$)
159,durham college,Supply Chain and Operations Management – Business Administration (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/supply-chain-and-operations-management-business-administration,Canadian dollar(Can$)
160,durham college,Supply Chain Management – Global (graduate certificate) – NEW,Two semesters (,"e

						September 2022 
View",,https://durhamcollege.ca/programs/supply-chain-management-global,Canadian dollar(Can$)
161,durham college,Tourism – Destination Marketing (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/tourism-destination-marketing,Canadian dollar(Can$)
162,durham college,Trades Fundamentals,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/trades-fundamentals,Canadian dollar(Can$)
163,durham college,Victim Justice and Interventions (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/victimology-graduate-certificate,Canadian dollar(Can$)
164,durham college,Video Production,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/video-production,Canadian dollar(Can$)
165,durham college,Web Development – NEW,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/web-development,Canadian dollar(Can$)
166,durham college,Welding Engineering Technician (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/welding-engineering-technician,Canadian dollar(Can$)
167,durham college,Youth Justice and Interventions (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/youth-justice-and-interventions-graduate-certificate,Canadian dollar(Can$)
